"Dear teamleaders, hereby the Tour 2022 pool, played according to the conservative rules, with some additions due to Corona, that have stood the test of times",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The rules are almost similar as previous years:,,,,,,,,,,,,,,,,,,,,,
2) for the team time trial all bikers of that team receive the points according to the position of that team in the time trial,,,,,,,,,,,,,,,,,,,,,
"3) the reserves can be used up until the end of etappe #6 (without counting the prologue). However, if the biker does finish etappe #6, gets ill in the following night and decides not to start etappe #7, he cannot be replaced anymore. Only bikers that did not finish etappe #6 can be replaced.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The scoring:,,,,,,,,,,,,,,,,,,,,,
Etappe placing:,,1,20 points,,,Final Placing,,1,100 points,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
Cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s:  1) Vlasov   2) Bardet  3) Uran  ,,,,,,,,,,,,,,,,,,,,,
Quinten’s ...............,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
Haig,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
A Yates,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Ewan  2) Bardet   3)Gaudu   4) Caruso,,,,,,,,,,,,,,,,,,,,,
Gerard’s Alpenkreuzers  ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
Pedersen,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Sagan,,,,,,,,,,,,,,,,,,,,,
Ganna,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Groenewegen  2) Gaudu   3) Mohoric   4) Mas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Lori’s Time for Glory,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Mas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
McNulty,,,,,,,,,,,,,,,,,,,,,
Bissegger,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Leknessund,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Sagan   2) Bardet   3) Storer   4) Martinez,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
Chiel’s Sportieve Groet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Haig,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Trentin,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
Cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Woods  2) Mas  3) Gaudu   4) Bardet   5) A Yates,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Karin’s This Time?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Pedersen,,,,,,,,,,,,,,,,,,,,,
Kung,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Kamna,,,,,,,,,,,,,,,,,,,,,
Pinot,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Storer,,,,,,,,,,,,,,,,,,,,,
dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Bardet  2) Haig  3) van Poppel   4) Woods,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hubert’s Expert view,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Van Poppel,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Pedersen,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Haig,,,,,,,,,,,,,,,,,,,,,
Asgreen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Gaudu  2) Bardet  3) Mas  4) Mollema,,,,,,,,,,,,,,,,,,,,,
Kielen’s  VUDU boys,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Pedersen,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Sagan,,,,,,,,,,,,,,,,,,,,,
Caruso,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1)  A Yates 2) Mas 3) Lutsenko  4) Haig,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,              Bas Oudejans’s …….,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
Haig,,,,,,,,,,,,,,,,,,,,,
Majka,,,,,,,,,,,,,,,,,,,,,
Yates,,,,,,,,,,,,,,,,,,,,,
Ganna,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s: 1) Martin  2) Gaudu  3) Pinot,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Han’s zou best kunnen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaal
Roglic, ,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
Coqard,,,,,,,,,,,,,,,,,,,,,
Pidcock,,,,,,,,,,,,,,,,,,,,,
Pedersen,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Majka,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s:     1) O Connor  2) Vlasov  3) Higuita  4) Gaudu,,,,,,,,,,,,,,,,,,,,,
Rich’s forgotten Dutch hero’s,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaa
Roglic, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Van Poppel,,,,,,,,,,,,,,,,,,,,,
Caruso,,,,,,,,,,,,,,,,,,,,,
Woods,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Mas,,,,,,,,,,,,,,,,,,,,,
Mathews,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Mohoric,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s:     1) Haig  2) Pinto  3) Dianese  4) v Aert  5) Groenewegen ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rein’s Comeback 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, Totaa1
Roglic, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Bissegger,,,,,,,,,,,,,,,,,,,,,
Ganna,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Sagan,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s:     1) vd Hoorn  2) Yates  3) Mas  4) Mohoric,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Bas Otto’s Sprinters,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaa
Roglic, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Mas,,,,,,,,,,,,,,,,,,,,,
Mohoric,,,,,,,,,,,,,,,,,,,,,
Kristof,,,,,,,,,,,,,,,,,,,,,
Philipsen,,,,,,,,,,,,,,,,,,,,,
Sagan,,,,,,,,,,,,,,,,,,,,,
Groenewegen,,,,,,,,,,,,,,,,,,,,,
Jakobsen,,,,,,,,,,,,,,,,,,,,,
Ewan,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s:     1)  A Yates  2) Lutsenko  3) Bardet  4) Froome,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sofia’s Who needs Sprinters?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
renner/etappe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20, totaa
Roglic, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Pogacar,,,,,,,,,,,,,,,,,,,,,
Vingegaard,,,,,,,,,,,,,,,,,,,,,
Thomas,,,,,,,,,,,,,,,,,,,,,
Van Aert,,,,,,,,,,,,,,,,,,,,,
Van der Poel,,,,,,,,,,,,,,,,,,,,,
Vlasov,,,,,,,,,,,,,,,,,,,,,
O Connor,,,,,,,,,,,,,,,,,,,,,
Martinez,,,,,,,,,,,,,,,,,,,,,
Uran,,,,,,,,,,,,,,,,,,,,,
Caruso,,,,,,,,,,,,,,,,,,,,,
Sagan,,,,,,,,,,,,,,,,,,,,,
Mas,,,,,,,,,,,,,,,,,,,,,
G Martin,,,,,,,,,,,,,,,,,,,,,
A Yates,,,,,,,,,,,,,,,,,,,,,
Dagtotaal,,,,,,,,,,,,,,,,,,,,,
cumulatief,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Reserve’s:     1) Quntana  2) Haig  3)  Gaudu  4) Pinot,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
